ind_pop_cid,perc_pol,taxa_crim,nivel_ed,crimes
3.0,14.008825823373217,25.882119755873234,5.0,43
1.0,33.96109480243082,79.72713427020976,6.0,31
2.0,7.376718387860281,80.69802103329256,3.0,389
1.0,20.831361219128254,67.56335001263622,5.0,167
2.0,31.443364285107844,96.21875387480132,8.0,187
3.0,0.5292491295239898,45.542736692064935,8.0,132
5.0,33.223868023559575,71.94811204455695,4.0,26
2.0,14.50855241251775,87.64526536050641,4.0,357
1.0,15.091547158931917,82.26692521166514,10.0,196
1.0,13.345704027680716,81.91308242187958,5.0,294
2.0,5.715824329324071,38.06535506205191,7.0,70
5.0,17.39006188783239,58.380578998024454,10.0,87
2.0,2.805368236300365,48.55215951676498,1.0,255
3.0,37.6414480090143,96.52705018462767,5.0,68
4.0,8.552027036214604,77.31105084410052,2.0,347
3.0,3.7562605519490533,75.37460023559167,4.0,356
4.0,23.094126313396256,30.240742999705837,5.0,6
2.0,16.335908280280254,75.66320821133662,7.0,199
4.0,4.390820335267387,13.540577258014485,4.0,31
1.0,9.016405997467391,53.854011131210854,6.0,136
3.0,0.7425041441572522,95.40523082026138,1.0,445
1.0,17.911334752084006,84.97773718224974,4.0,327
3.0,12.75259352897823,85.6201790182919,1.0,388
4.0,12.88749895430632,26.946209741930527,5.0,22
5.0,7.777692473038556,46.646828781750095,3.0,213
2.0,9.635547081833407,76.45198453948626,4.0,348
1.0,15.73579319659114,45.643507858919975,6.0,43
2.0,9.433979899796086,53.18672098796506,8.0,131
5.0,18.726544035754454,97.38994744052172,8.0,310
1.0,14.115287250288445,29.365226963935363,3.0,91
2.0,13.190046834269452,36.44777159368835,6.0,66
2.0,1.1580985971609392,51.76691361584128,3.0,250
3.0,13.928620282244463,95.72016565432754,8.0,369
3.0,37.53404614429865,78.87869762079106,1.0,76
4.0,25.431836740677827,77.45168901347435,1.0,209
1.0,20.84983092288851,73.00419704297141,7.0,117
1.0,11.325198027896954,97.54134124041528,7.0,287
2.0,18.846432271431258,57.67167638379516,10.0,42
5.0,13.084142368406049,30.727418948961105,1.0,86
3.0,1.4236254480888055,39.374613389321645,6.0,128
4.0,32.069942120498276,94.1031491212409,5.0,170
4.0,34.25049726276272,78.84279165327433,5.0,81
1.0,13.8814205136637,80.58424091473735,10.0,190
5.0,8.6393303642595,44.13591386393746,3.0,163
4.0,9.804970450774553,26.98987587297329,7.0,14
2.0,29.89099418216802,81.95552485440462,6.0,56
4.0,16.802161890444022,38.54641890065855,8.0,57
4.0,37.3225480759941,75.28245757882017,2.0,14
5.0,13.722272808799508,31.060046016870224,6.0,81
3.0,19.1555294501906,82.3399390638379,1.0,327
2.0,2.594237605366412,78.22922255312662,1.0,354
5.0,26.883859785751994,87.07403029108596,6.0,267
1.0,1.1874392565174308,98.16219860620721,5.0,445
3.0,5.8281460263201135,70.58168526401802,9.0,248
5.0,6.070992584512036,64.0163249224212,6.0,212
2.0,0.3512334031533615,70.37497279148798,7.0,265
5.0,5.943984069339714,30.243291165724695,3.0,106
1.0,4.023391534861287,76.80552951623886,5.0,301
2.0,26.55785293890388,72.41526614569047,10.0,80
5.0,38.12683117457575,78.36309862320867,2.0,118
1.0,18.842996405052816,43.542208635486624,2.0,105
2.0,36.69927336409495,92.46712476143853,5.0,24
3.0,1.7394945545166185,55.021410265408974,5.0,247
2.0,0.16238447591122585,43.354837717415066,1.0,234
5.0,27.466668484735678,94.94471841113187,3.0,318
5.0,17.12592579119524,95.31675849205725,2.0,413
4.0,33.48664490231153,99.11996207842138,7.0,110
2.0,2.65713558504429,94.27659706660657,9.0,358
4.0,11.665710869252388,42.524220202858146,4.0,256
4.0,17.116303600194794,24.773905711999035,3.0,76
2.0,1.0996780023127983,94.83658327365188,6.0,397
2.0,11.132317646065637,89.67786417282764,10.0,207
5.0,16.558762448180797,43.09130431163798,9.0,34
2.0,25.279061544419,60.49146196037146,4.0,101
5.0,9.449410457255535,38.22175552683987,3.0,193
5.0,5.20997131764438,30.286402720200268,2.0,164
4.0,6.60689650928632,99.27069689453171,3.0,492
3.0,5.098417558477597,78.18306211957538,2.0,379
5.0,36.697086918474064,78.69684910843027,7.0,19
5.0,18.06523793895465,97.25630311899928,9.0,320
3.0,0.7896808148452394,28.389107202253193,1.0,172
5.0,1.0326201320822181,59.36212866879556,8.0,288
5.0,18.696690016737815,31.173741805902534,8.0,35
2.0,3.7380980265387054,63.118629969360526,8.0,205
5.0,20.036276439401103,48.89437578743242,3.0,95
3.0,17.834031222300005,77.60237566546587,7.0,211
1.0,8.629996915170334,71.11932260789925,4.0,255
5.0,10.627312694566038,45.8143313812988,9.0,106
1.0,23.962309016563488,65.95249559906034,2.0,142
4.0,32.78554344024347,81.60163786417712,6.0,89
1.0,35.54368254528807,76.28375924092155,3.0,15
5.0,26.977139177189223,70.11191733238546,2.0,209
5.0,2.811208011020727,38.92166901549545,3.0,221
2.0,5.502028375154,67.78890011207194,9.0,160
3.0,29.26442159623783,69.59148764688801,2.0,136
2.0,0.4796343046985063,23.7203585373194,4.0,47
4.0,2.5941076646191497,51.66574729214742,3.0,267
3.0,10.471013655404304,33.67643750412669,6.0,103
1.0,30.830643732641285,80.18089710501276,7.0,42
2.0,29.66101525755208,80.99560838103237,8.0,85
3.0,9.686122051723512,35.62701707305159,7.0,67
4.0,35.79841796629578,85.73823928632943,8.0,24
5.0,4.810226847518995,23.104782333912187,4.0,118
5.0,21.228283631287482,90.08901183913343,5.0,346
1.0,21.352102413503893,60.992896516484564,9.0,87
4.0,4.473517897643397,84.89468919400505,4.0,385
4.0,15.019056968896416,59.59137660827848,3.0,210
5.0,17.673787390524875,81.67246314981719,1.0,374
4.0,7.312028403633208,19.50538357875493,8.0,6
2.0,26.567501236743617,94.11369816832871,2.0,283
1.0,14.901110363924042,59.134363649394814,5.0,108
5.0,7.758135001926569,59.20119732480066,2.0,343
4.0,16.600359917241793,26.99696535728814,6.0,33
3.0,38.47272511494513,76.95804948479082,1.0,58
1.0,32.26085538727551,91.31916243275083,7.0,83
1.0,16.823390462931275,25.75902828486386,3.0,63
2.0,10.850165858159489,22.54371276139081,3.0,102
3.0,37.20552128910762,76.1477794114817,4.0,3
2.0,11.2393767973194,71.88662726273002,8.0,239
4.0,25.021285697701956,37.95409876492888,1.0,40
2.0,15.434705513101033,86.75743444349204,5.0,271
5.0,18.86609880610155,23.208809709568367,4.0,73
4.0,16.6583347331014,46.55674823110461,5.0,103
1.0,13.578467008054707,59.04095400148633,2.0,165
1.0,5.496507369526327,60.159987861380756,9.0,175
3.0,4.215220452367941,41.08440679187797,4.0,131
4.0,21.06374760745444,94.19238227194829,7.0,280
3.0,24.77784973556324,80.74367935443699,3.0,183
4.0,3.8336963678860636,91.61126931118852,5.0,414
1.0,0.22732363699173863,99.02146024589584,9.0,317
2.0,25.026860379221148,72.84481349662842,6.0,143
1.0,10.901102213473223,54.330630623000545,9.0,92
5.0,18.963152452027852,61.26457008894063,9.0,108
4.0,9.65067424941488,83.1132764773783,4.0,418
2.0,27.981865612823707,83.45273899554454,6.0,148
1.0,11.02516687697025,69.1952702822381,7.0,211
4.0,17.94666958633058,48.85764303167656,3.0,180
4.0,5.04595713243906,67.12238514619955,3.0,306
2.0,0.08945337959921362,37.154051175916216,3.0,218
1.0,32.2119319339423,89.72736158321506,3.0,158
5.0,5.239065806888654,15.864987175660051,5.0,105
3.0,13.797138068891645,77.58598716738445,6.0,264
5.0,22.691609661655143,94.01336147876633,6.0,288
1.0,14.810166801599278,88.3531785325819,6.0,313
4.0,20.018399360835314,26.51135985229206,2.0,33
2.0,9.416746291713041,39.13685777511795,10.0,46
4.0,30.935056729356823,96.85446629828101,10.0,120
5.0,2.966555192468112,50.62872328647367,4.0,274
4.0,2.97777125510178,20.52605241061429,4.0,89
2.0,14.181414579091422,64.88137708144748,9.0,201
4.0,6.778911444384372,27.38172591405741,3.0,105
2.0,4.282366961365581,52.73881634308343,8.0,98
2.0,20.277114572686084,59.91903308432573,2.0,159
3.0,13.480930259419255,71.30087863912162,1.0,294
1.0,10.315016981511338,68.84398907637745,10.0,151
4.0,15.253597121274943,57.4881242810542,2.0,240
5.0,18.35303597717187,45.218903462586624,2.0,151
1.0,26.615370039216167,80.85931377335118,6.0,125
5.0,10.332694473314374,10.858126869584483,6.0,49
5.0,37.501304237739305,86.86629911990615,8.0,31
3.0,36.91415526495003,92.14404555864576,2.0,64
2.0,17.76068499476462,89.3074146622894,2.0,330
1.0,12.754106381939835,29.034852276387458,1.0,95
1.0,18.77178734011612,87.76568303089994,5.0,221
3.0,1.3730971528316704,79.42943224883236,1.0,366
1.0,20.327403408665347,91.51049463366114,10.0,226
1.0,15.775274965884488,73.23484155935745,5.0,189
4.0,4.944109013649555,7.266280429495852,3.0,12
1.0,36.589683052914346,95.12897352305276,4.0,84
3.0,14.12317958667444,48.523282851542284,8.0,77
5.0,22.16269263673688,97.36008013706692,8.0,350
3.0,19.96822714167695,67.31827417608217,7.0,133
3.0,6.847414364389104,96.6494039182941,7.0,337
3.0,28.265751047716826,98.36095115343704,9.0,164
3.0,20.624065495814847,40.86420056834675,8.0,33
1.0,21.414974950783293,91.31669568379294,6.0,223
5.0,2.8867495458437142,56.986313320173785,7.0,237
2.0,27.363390874955297,85.06434954781456,6.0,146
5.0,12.255064171867724,40.19325673000075,6.0,81
4.0,9.512489146872705,9.097074923853455,4.0,1
5.0,9.083455597930712,97.90566179607856,4.0,439
2.0,16.82597519298842,39.50844992087406,10.0,14
3.0,9.367528576323181,76.66616682299272,6.0,315
5.0,8.812931680553081,17.81666962067936,5.0,43
5.0,2.8407290104322858,90.9013583996557,4.0,457
2.0,28.921522543811385,78.68440714600848,4.0,157
1.0,4.794701922284316,42.263055839279616,7.0,110
4.0,35.104159343739695,84.18249484031631,4.0,83
1.0,6.663056321117111,71.48347639675372,10.0,196
4.0,32.10658762890598,75.53684726588604,1.0,145
5.0,5.7088092954792335,79.35328050832223,5.0,397
2.0,8.38706935424388,49.71021541713153,10.0,80
3.0,15.81569742428448,28.402391486235445,3.0,58
4.0,3.377754209293138,42.46200187826288,5.0,177
5.0,20.210312747818094,96.48164327734169,6.0,319
5.0,30.94609818339076,57.34152798162422,4.0,36
2.0,5.1975099566461065,96.54906423643853,4.0,452
5.0,7.032661971570553,93.9553768189816,1.0,526
1.0,22.87438128080802,72.01320691700879,9.0,76
5.0,3.3652531192859714,53.56494655570512,6.0,169
3.0,23.121517682290715,89.00327056068215,4.0,282
5.0,5.5990558427634785,74.03942880123059,8.0,242
3.0,30.555999359991524,76.07714818221487,2.0,124
4.0,8.574682813877288,41.44680928295186,5.0,155
1.0,4.5084093924931175,91.83935307656914,10.0,266
3.0,8.025387483452795,71.36071125968436,1.0,340
4.0,19.539626824955125,54.88987241335721,9.0,43
3.0,10.822885181039222,26.060139234456038,7.0,9
1.0,0.857342246132553,17.390584861394508,6.0,32
5.0,1.083810003975616,43.256903057226125,6.0,209
1.0,24.043750811340303,59.87452183747516,8.0,17
4.0,10.118361598601954,94.71674047208312,1.0,459
1.0,0.2273431955824856,75.0606375092726,10.0,214
3.0,28.72754812210041,81.21516707981608,9.0,115
1.0,36.834144068066365,94.09335967505739,1.0,143
5.0,12.341660817143008,48.32691047020017,8.0,116
5.0,21.494438021105257,86.38431467977972,1.0,357
5.0,14.755150520738603,21.909694258289903,7.0,31
3.0,36.976927281993746,96.11737162725757,4.0,47
5.0,2.19590757173187,19.67099028316571,10.0,14
2.0,25.108864902114924,90.00693946130815,3.0,238
3.0,6.494305726475891,63.23080216594828,2.0,327
4.0,28.557531445265493,97.586112139967,6.0,187
2.0,10.674574801903736,66.22983677738179,9.0,170
4.0,22.523047099212345,91.35905445305629,3.0,319
1.0,20.077039747358118,80.42980933219445,1.0,219
3.0,1.4816757444474193,28.63369971854365,9.0,22
3.0,10.480428373543893,11.794878287744437,1.0,58
5.0,32.17242619948644,78.02983215304748,6.0,100
4.0,28.430684730070166,77.83181801359869,1.0,180
5.0,18.411980170459906,43.46200363695575,4.0,73
1.0,14.514603739447052,89.74557857452538,5.0,301
5.0,29.45124952673578,98.97781034933757,10.0,215
3.0,1.648921779195145,98.65373260598037,8.0,405
1.0,6.657853215498733,44.653727194187,8.0,108
3.0,30.491149361802737,81.4174741089258,8.0,25
1.0,1.35473733776722,42.04197844942197,6.0,85
5.0,15.56261912398802,89.60535792927577,1.0,452
3.0,7.0912449638245505,93.33741941999925,10.0,316
1.0,17.292156637682965,77.55429083209776,5.0,189
1.0,20.92332040038576,69.24919028769932,8.0,94
5.0,6.699096744887633,37.397106124238356,3.0,145
2.0,21.267061402845112,63.57500190454065,6.0,66
5.0,16.309858526985444,80.15170256132151,5.0,299
4.0,31.67944667286039,60.31059688795325,4.0,49
4.0,14.955160015482639,94.75148647894383,2.0,376
1.0,25.177245395840618,50.48031486268566,1.0,94
5.0,7.107667187842104,65.86975651087657,3.0,344
2.0,19.721400333496288,48.450850190873865,3.0,110
1.0,18.211207169918765,70.92738784767778,9.0,129
5.0,0.6748335578147358,71.86937995058604,8.0,335
5.0,11.824816462530096,76.01929908931669,8.0,296
5.0,25.724569767469006,91.11960021723952,6.0,282
3.0,23.60678949291628,65.67465271459038,10.0,91
3.0,15.162060112398656,81.62026902597738,3.0,314
3.0,17.463570762305004,90.57992260424153,2.0,349
2.0,9.593223492441627,81.08277532194388,4.0,316
4.0,28.29417552191633,88.59878631606604,3.0,275
4.0,10.684934126572355,30.014541881404387,1.0,197
4.0,17.69473329705331,45.385731760921665,4.0,87
5.0,0.9848036787657555,54.2563814039575,2.0,322
4.0,28.571761246109705,76.92096913590085,1.0,153
1.0,16.100659551376005,33.721579517889765,5.0,39
2.0,31.81884291376399,99.8113813595129,10.0,63
1.0,19.894697554538975,53.86571143114135,9.0,60
3.0,6.365227175601207,30.20949320690245,9.0,28
5.0,14.638827805064757,90.69162841262842,3.0,436
1.0,19.47708496338204,57.96704116647572,6.0,92
2.0,33.59572357524979,90.87287089024399,4.0,94
1.0,3.800804006477143,32.32124333533686,8.0,1
3.0,10.060687670144786,67.10710574174354,8.0,193
2.0,0.17582419203412414,97.55149760421374,8.0,364
2.0,35.44197086166665,81.32200096264074,4.0,107
3.0,5.503398675136628,97.13922331011223,4.0,433
2.0,24.61255988807641,73.74741946936682,7.0,120
3.0,21.011146720483197,59.47735444727119,10.0,45
3.0,0.8976234164970398,40.112145478624974,4.0,89
2.0,8.269844786404935,69.6158074808548,5.0,302
5.0,25.471572335721206,80.61464668070776,6.0,155
1.0,34.46003604250073,75.3403007586515,8.0,1
4.0,6.913945100302388,98.92095919961452,4.0,454
2.0,12.077422247290958,61.05448422611399,6.0,195
3.0,1.797003545508502,86.28916681685963,3.0,385
1.0,1.3235167014572724,33.223911959596194,4.0,105
3.0,45.14757343092695,92.24059996277121,1.0,1
3.0,6.6203782893196506,38.965000762447964,6.0,122
4.0,10.341072995363398,71.9606108385121,7.0,203
4.0,42.49582834649133,89.21336955602371,1.0,29
1.0,17.00456905383615,63.552245936760556,10.0,93
2.0,10.222548028908307,44.55770566013973,8.0,57
3.0,27.279400616426773,80.93658140051471,3.0,145
5.0,15.479321410866454,20.631890654144236,2.0,68
5.0,11.37995916953547,52.70087940285645,3.0,255
3.0,5.345514460389622,94.28125643630409,2.0,464
2.0,17.559397076691596,32.77919898241747,5.0,10
4.0,4.718269228553074,51.64012909242949,6.0,155
4.0,13.802442729525977,81.8724460062249,2.0,385
1.0,9.710676939881125,72.73554463078688,4.0,294
2.0,11.408868527943872,25.240291118395554,6.0,40
4.0,1.3762715832168593,46.47186399246986,1.0,231
4.0,20.711606260545288,50.04707687942068,10.0,6
1.0,1.7368871124935237,68.77443063703424,2.0,347
4.0,29.116073985387292,72.38696445065995,3.0,78
2.0,13.310682984331557,41.175453900279265,6.0,55
1.0,23.454158091340403,84.00389575087294,8.0,132
2.0,15.20852764880396,89.59371154956423,4.0,365
5.0,9.208281033293463,40.95002926603924,10.0,46
2.0,17.369164266716552,56.878521246151536,1.0,244
5.0,25.06586326945186,90.5108707416704,9.0,220
1.0,30.568983717242617,72.51858956365011,8.0,0
1.0,2.1135944577979626,52.383752941140635,10.0,166
4.0,26.474378227488348,68.94086079271253,1.0,141
5.0,1.4707242961327194,38.54500419179018,8.0,105
5.0,22.33777755230645,86.6293605444532,9.0,198
3.0,10.81674211261735,45.828964727563324,2.0,147
1.0,16.279810283551598,18.088517930700355,1.0,21
5.0,17.296287816218246,84.38656424983333,4.0,320
5.0,22.40792346688425,75.91417972190129,9.0,173
1.0,29.25428583430707,52.103803084602085,1.0,15
4.0,12.834648847337693,19.82181394028607,5.0,10
4.0,4.36905465713785,16.617318075256694,9.0,15
3.0,3.2098494173451897,13.565218987689043,6.0,14
2.0,6.309179009709897,40.99685050737762,6.0,74
3.0,3.9913469276374847,82.65691265071673,4.0,389
5.0,28.48918752418843,87.71633999520347,8.0,124
5.0,19.945111859954366,59.072013286552675,2.0,180
4.0,14.208546435856261,85.12134892147,9.0,230
4.0,18.101483823540576,81.37966856672023,6.0,238
5.0,2.5259406468166268,68.03698663202934,7.0,296
5.0,14.240522821433565,52.6316349083564,4.0,220
2.0,23.06435548971524,52.78807746449065,6.0,30
3.0,36.731210168098016,71.7256739487175,2.0,4
1.0,19.162698925470355,91.11876047706427,6.0,310
4.0,28.73055500924079,98.0640901776622,5.0,238
1.0,3.990215340285075,39.54210360696597,4.0,135
4.0,29.21512677420909,95.43447040598592,5.0,280
4.0,25.528073307887954,56.658473055908786,6.0,121
2.0,33.704195866493215,91.04003616227365,3.0,92
2.0,29.77233937222037,78.94893385457553,6.0,112
1.0,18.639708448582446,61.3951992565225,7.0,123
1.0,13.64856656941571,51.6861981090742,5.0,95
3.0,19.443329636781325,84.15725686902091,9.0,208
4.0,17.595687547656546,88.85023803515372,4.0,335
1.0,6.4666781439389975,99.29160199733711,2.0,429
1.0,8.039548610036595,90.3572389747174,6.0,327
3.0,12.634863724994538,86.52243462207763,10.0,215
5.0,15.78519179041481,76.7361391141255,1.0,385
4.0,14.235046813282903,55.94347042456823,1.0,267
3.0,4.31885164044854,56.3898438698508,8.0,160
3.0,16.06398867184606,55.45437835479316,9.0,115
1.0,2.236018059346778,27.695638268874834,1.0,118
1.0,22.708462599085045,66.91442804339523,2.0,218
3.0,20.991672773401604,86.39155375896155,10.0,209
5.0,18.367216648579287,17.133501989587185,4.0,27
3.0,4.885615126588705,91.50677860847476,1.0,419
3.0,13.301393193478129,55.36778416793098,4.0,182
4.0,20.9898587690437,79.69155225215991,1.0,286
3.0,16.106488868120383,59.20764404440071,6.0,60
1.0,17.026682300876416,60.87878677718744,2.0,146
4.0,9.485119761492566,35.50414558716318,5.0,100
2.0,12.06621557442129,87.99307429482178,6.0,308
2.0,31.25731764180597,70.3065008264748,5.0,58
5.0,13.244428552857645,12.604716451933907,5.0,7
5.0,4.2522016800923375,37.76352144515418,6.0,149
5.0,10.730508975424048,79.04478830523203,6.0,304
4.0,9.181424667239323,98.03220342069008,6.0,381
1.0,17.71051797370724,84.40735582250868,1.0,316
2.0,23.534929708587292,56.02851989688429,8.0,57
5.0,24.42357966091612,80.20170503275372,2.0,314
3.0,25.933327964353094,52.97445046791391,4.0,54
5.0,36.74692338956691,76.891661477723,1.0,72
5.0,36.205414580024,87.15553943626902,2.0,135
2.0,34.16903297445128,75.78584657869271,6.0,22
2.0,7.796832439630464,75.98652471663058,5.0,266
4.0,3.20351890412397,5.974150500560116,1.0,32
5.0,0.1813417667775652,53.005856564366624,9.0,246
4.0,21.773766000924844,65.8852785093915,8.0,143
5.0,7.46666029626607,99.26309269752682,8.0,348
3.0,21.62294528841371,90.65037754039683,3.0,339
3.0,15.450080027260283,43.70660218793026,7.0,31
4.0,12.785230195444486,37.6680290318676,6.0,72
3.0,7.017344931259439,98.93450837127168,1.0,478
4.0,4.086271506650441,19.03187990569799,8.0,11
2.0,15.763320495155153,87.14231518846385,8.0,299
4.0,1.765073471364409,38.707939135193016,7.0,134
3.0,18.45207023220724,85.9856550138922,10.0,203
5.0,8.870599625156661,60.54525436258545,9.0,231
1.0,25.639705893488586,98.69880507771113,6.0,247
5.0,32.8822373491611,79.44585345094588,2.0,173
1.0,14.400422612139685,84.3843222554615,7.0,204
5.0,21.67621357299452,45.61507257514271,3.0,103
3.0,31.35414678268742,88.25136807721375,2.0,146
5.0,6.785040395361963,48.558234902725,6.0,200
3.0,2.3439949828036544,87.54877467980059,3.0,412
4.0,13.388707975068936,71.45505313105618,10.0,225
2.0,3.5584296800153403,58.904730194584786,3.0,246
1.0,24.04628244174264,92.61695046866629,1.0,340
5.0,10.237221812453523,68.08557180253581,1.0,367
3.0,14.237438020476878,39.69946619915214,8.0,30
2.0,12.221508939728842,89.02905778672967,9.0,214
5.0,13.275344292430468,17.934508368840085,3.0,28
2.0,4.655690611950625,52.79616497723298,7.0,170
5.0,1.1328954971676186,40.844206625954804,2.0,266
4.0,21.617807019895473,83.53470821305365,6.0,196
1.0,7.4884164892154,25.340847614446282,7.0,8
3.0,8.512545391700744,95.4570719556933,4.0,427
4.0,23.40462855767952,69.42068185669548,7.0,138
2.0,12.755419338780161,74.86524914507878,7.0,182
1.0,30.00157357225327,83.96260542834496,1.0,208
5.0,0.6002326951009551,41.11867307088411,4.0,247
1.0,8.499035637488127,55.13879779929156,6.0,153
5.0,23.781479788686212,82.82087139371492,1.0,255
5.0,9.733215077929625,10.879655626922046,3.0,59
5.0,24.52596133028657,94.33446786574282,7.0,252
2.0,13.55662502097752,97.05887449818294,8.0,313
3.0,13.55811124440991,58.72650770027129,1.0,195
5.0,12.505811004635802,63.361385074110544,6.0,250
3.0,18.812439095553568,36.196513309209166,9.0,13
3.0,28.255557064014525,89.61494478846511,3.0,223
1.0,4.800089322892465,59.87381720273447,5.0,214
1.0,36.41663995891987,90.54581328705041,9.0,22
2.0,3.1331746378618353,38.76091372935113,7.0,136
4.0,25.074386107097034,93.13814537148198,9.0,180
3.0,8.988202630177122,98.07384016571838,10.0,311
1.0,17.38756128800031,91.80199083852678,4.0,337
1.0,6.518942597920107,72.91857424620267,2.0,311
1.0,29.451217389592045,75.14523331633997,4.0,92
5.0,25.079259271420774,82.3160234482099,5.0,224
3.0,31.44370510967812,85.91202237404752,4.0,108
3.0,17.189949102008296,39.07497503829765,1.0,94
3.0,32.484051048654464,96.14219345007946,4.0,177
3.0,0.5301812025464314,73.23274221728576,2.0,350
4.0,33.64040422080306,73.39336426006476,5.0,79
